"Source Name",Path,URL,"Date Accessed",Domain,Username,"Program Name","Data Source"
History,"C:\Users\ITAdmin\Downloads\python-3.13.13-amd64.exe","https://www.python.org/ftp/python/3.13.13/python-3.13.13-amd64.exe","2026-04-24 14:18:43 EDT",python.org,Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
History,,"https://github.com/emmatrowbridge/Ransomware-Simulator/archive/refs/heads/main.zip","2026-04-23 23:13:12 EDT",github.com,Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
History,,"https://codeload.github.com/emmatrowbridge/Ransomware-Simulator/zip/refs/heads/main?token=BS5D47QVDCFJCF6ZCI6QVFLJ5LQPG","2026-04-23 23:13:12 EDT",github.com,Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
History,"C:\Users\mtann\Downloads\Ransomware-Simulator-main.zip","https://github.com/emmatrowbridge/Ransomware-Simulator/archive/refs/heads/main.zip","2026-04-23 23:14:55 EDT",github.com,Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
History,"C:\Users\mtann\Downloads\Ransomware-Simulator-main.zip","https://codeload.github.com/emmatrowbridge/Ransomware-Simulator/zip/refs/heads/main?token=BS5D47XBJS26N7FMZSL7SZTJ5LQVW","2026-04-23 23:14:55 EDT",github.com,Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
History,"C:\Users\mtann\Downloads\risk_notes.txt","blob:https://github.com/19639eec-9f6e-409c-b4cb-bd14b84f36f6","2026-04-24 00:04:23 EDT",github.com,Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
History,"C:\Users\mtann\Downloads\stakeholder_notes.txt","blob:https://github.com/a2d127d2-f42e-40f0-9eb7-535fb72ff317","2026-04-24 00:05:15 EDT",github.com,Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
History,"C:\Users\mtann\Downloads\site_visit_log.txt","blob:https://github.com/76e15c09-e136-4622-9692-05a41ac0bcef","2026-04-24 00:06:21 EDT",github.com,Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
History,"C:\Users\mtann\Downloads\photos_reference.txt","blob:https://github.com/7592199e-a104-43d1-affc-329121fc866b","2026-04-24 00:06:43 EDT",github.com,Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
History,"C:\Users\mtann\Downloads\vendor_payments.csv","blob:https://github.com/b257f13c-d8a2-4df7-a4c5-5ea2426db693","2026-04-24 12:46:17 EDT",github.com,Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
History,"C:\Users\mtann\Downloads\weekly_tasks.txt","blob:https://github.com/ef2b5ba4-d24b-4d8b-9b78-5ed63607d3be","2026-04-24 12:46:48 EDT",github.com,Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
History,"C:\Users\mtann\Downloads\team_updates.txt","blob:https://github.com/edb20d96-219f-446a-8789-9ec877eb7c93","2026-04-24 12:47:07 EDT",github.com,Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
History,"C:\Users\mtann\Downloads\vendor_contacts.csv","blob:https://github.com/c4de7bb7-dca5-4752-bebe-41b96b3ee57a","2026-04-24 12:47:42 EDT",github.com,Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
History,"C:\Users\mtann\Downloads\fema_pda_public-assistance-documentation-checklist.pdf","https://www.fema.gov/sites/default/files/documents/fema_pda_public-assistance-documentation-checklist.pdf","2026-04-24 12:53:17 EDT",fema.gov,Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
History,"C:\Users\mtann\Downloads\fema_npd_developing-and-maintaining-emergency_052125.pdf","https://www.fema.gov/sites/default/files/documents/fema_npd_developing-and-maintaining-emergency_052125.pdf","2026-04-24 12:53:47 EDT",fema.gov,Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
History,"C:\Users\mtann\Downloads\NIST.SP.800-12r1.pdf","https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-12r1.pdf","2026-04-24 12:54:36 EDT",nist.gov,Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
History,"C:\Users\mtann\Downloads\Book.xlsx","https://onedrive.live.com/personal/a2400b1b1a26eb7c/_layouts/15/download.aspx?UniqueId=06e2df31%2Dbd8f%2D47d7%2Db679%2D43fc4c067ebf","2026-04-24 12:56:01 EDT",live.com,Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
History,"C:\Users\mtann\Desktop\PBTG-Bridge-Barron-County-WI-e1712253655978.webp","https://www.shortspansteelbridges.org/wp-content/uploads/2023/08/PBTG-Bridge-Barron-County-WI-e1712253655978.png","2026-04-24 12:57:04 EDT","shortspansteelbridges.org",Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
History,"C:\Users\mtann\Downloads\bih-chapter9.pdf","https://www.mass.gov/doc/chapter-9-massdot-supplemental-coding-guide/download","2026-04-24 18:10:20 EDT",mass.gov,Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
History,"C:\Users\mtann\Downloads\Side-by-Side-Comparison-NBIS-Regulations-2022_508.pdf","https://www.fhwa.dot.gov/bridge/pubs/Side-by-Side-Comparison-NBIS-Regulations-2022_508.pdf","2026-04-24 18:14:11 EDT",dot.gov,Default,"Microsoft Edge","Windows_Ransomware_Build.vmdk"
